Algorithm,StaticFit_B,StaticFit_A,Coverage_B,Coverage_A,Conn_B,Conn_A,Final_BestSoFar,MC_Fit_Mean,MC_Fit_Std,MC_Cov_Mean,MC_Cov_Std,MC_Conn_Mean,MC_Conn_Std
DMPA‑GWO,-1.16,-1.1103703703703705,0.98,0.98,0.9,0.7407407407407407,-1.16,-1.0075566665385256,0.14069681128056835,0.9248000000000001,0.06391703164785867,0.7167133330770511,0.20611523474808396
PSO,-0.67,-0.7866666666666664,0.96,0.96,0.3,0.3333333333333333,-0.8374999999999999,-0.6470344415017765,0.06544643223580181,0.9283,0.03520378577175068,0.2655688830035532,0.07350635129457911
GWO,-0.3100000000000001,-0.31571428571428584,0.8,0.8,0.2,0.07142857142857142,-0.6517241379310343,-0.3005692926735656,0.12521309058163338,0.7494000000000001,0.07496491641739714,0.18153858534713108,0.054430554031670464
DE,-0.6266666666666667,-0.5246153846153845,0.9,0.78,0.23333333333333334,0.2692307692307692,-0.7046153846153846,-0.6022256344556383,0.051659698068480246,0.8662000000000001,0.03600055834296221,0.20905126891127643,0.05791469197978855
GA,-0.5733333333333333,-0.5506896551724139,0.88,0.86,0.26666666666666666,0.2413793103448276,-0.926923076923077,-0.5593831092757817,0.05380973941476041,0.8546,0.03395000758579263,0.23166621855156336,0.06785321880094926
WOA,-0.5733333333333333,-0.48846153846153845,0.96,0.88,0.06666666666666667,0.07692307692307693,-0.7241666666666666,-0.5778213912274631,0.05785520852751347,0.9289000000000001,0.03906945239637693,0.06724278245492638,0.014228855935885026
