Algorithm,StaticFit_B,StaticFit_A,Coverage_B,Coverage_A,Conn_B,Conn_A,Final_BestSoFar,MC_Fit_Mean,MC_Fit_Std,MC_Cov_Mean,MC_Cov_Std,MC_Conn_Mean,MC_Conn_Std
DMPA‑GWO,-0.69,-0.69,0.6,0.6,0.7,0.7,-0.6799999999999999,-0.5849291666666666,0.11054956171136533,0.5494,0.0654296968213261,0.6314583333333333,0.139235275720648
PSO,-0.38,-0.38999999999999996,0.52,0.48,0.4,0.5,-0.44222222222222224,-0.34788809523809516,0.0542090255752779,0.49099999999999994,0.041902015398693676,0.3919761904761905,0.07613050669600459
GWO,0.030000000000000027,0.030000000000000027,0.34,0.34,0.2,0.2,-0.38,0.029990674603174616,0.05859326364854941,0.32819999999999994,0.027211437146130103,0.20241865079365082,0.050300153945737905
DE,-0.35,-0.25250000000000006,0.48,0.36,0.5,0.625,-0.35777777777777786,-0.3154730158730159,0.0514554996749066,0.4504000000000001,0.042578216526917435,0.48374603174603176,0.08519782649489668
GA,-0.31,-0.2775,0.48,0.42,0.3,0.375,-0.5099999999999998,-0.2405180555555556,0.08218776342579313,0.4414,0.0418424900053671,0.24923611111111107,0.12351968209781246
WOA,-0.17000000000000004,-0.07250000000000006,0.46,0.38,0.1,0.125,-0.30000000000000004,-0.11820694444444449,0.08939421846208076,0.4233,0.053717201048102015,0.0975138888888889,0.040077686399138265
