Algorithm,StaticFit_B,StaticFit_A,Coverage_B,Coverage_A,Conn_B,Conn_A,Final_BestSoFar,MC_Fit_Mean,MC_Fit_Std,MC_Cov_Mean,MC_Cov_Std,MC_Conn_Mean,MC_Conn_Std
DMPA‑GWO,-0.87,-0.87,0.82,0.82,0.6,0.6,-0.8844444444444445,-0.7877612921821899,0.0892470298622415,0.7724000000000001,0.057013090271546905,0.53832258436438,0.09628591756955648
PSO,-0.7350000000000001,-0.6422222222222222,0.76,0.76,0.65,0.4444444444444444,-0.7350000000000001,-0.664995313344636,0.08852577326506259,0.7254999999999999,0.04496508975285619,0.5606906266892723,0.1380626701405209
GWO,-0.48999999999999977,-0.4452631578947366,0.7,0.7,0.3,0.21052631578947367,-0.6649999999999999,-0.4524945550987539,0.061462748486366355,0.6585,0.04540991413235151,0.294989110197508,0.049614504984352624
DE,-0.575,-0.4188888888888888,0.74,0.66,0.35,0.2777777777777778,-0.646470588235294,-0.5396628678124421,0.06639578432771184,0.7030000000000001,0.04653846952499236,0.33382573562488416,0.05765565647918122
GA,-0.4799999999999999,-0.4578947368421053,0.66,0.66,0.4,0.3157894736842105,-0.7777777777777779,-0.4461516220084525,0.06119899098786409,0.629,0.034886751455755795,0.365203244016905,0.0939379512033067
WOA,-0.5650000000000002,-0.5650000000000002,0.76,0.76,0.35,0.35,-0.6766666666666665,-0.5470379324536833,0.06066270160300071,0.7281,0.04167823624968338,0.3399758649073664,0.05584346148317265
