Algorithm,StaticFit_B,StaticFit_A,Coverage_B,Coverage_A,Conn_B,Conn_A,Final_BestSoFar,MC_Fit_Mean,MC_Fit_Std,MC_Cov_Mean,MC_Cov_Std,MC_Conn_Mean,MC_Conn_Std
DMPA‑GWO,-1.0733333333333333,-0.6333333333333334,0.98,0.68,0.7666666666666667,0.4666666666666667,-0.9868421052631581,-0.671715769275164,0.1606758842350453,0.7428999999999999,0.10242089728666229,0.4526315385503281,0.2028284152731233
PSO,-0.6566666666666665,-0.5522222222222222,0.82,0.68,0.6333333333333333,0.4444444444444444,-0.7841176470588235,-0.4598167600366011,0.12379967096813223,0.6643000000000001,0.07757317828959794,0.3427335200732024,0.1821974510290019
GWO,0.15666666666666668,0.11153846153846153,0.42,0.34,0.16666666666666666,0.07692307692307693,-0.5628571428571426,0.06550185718629567,0.06638653527228028,0.3797999999999999,0.03294521110379119,0.1487962856274086,0.06452851877114435
DE,-0.9166666666666667,-0.41,0.86,0.66,0.8333333333333334,0.3,-0.8281818181818182,-0.5255255799343042,0.15654014328385446,0.6638,0.07871812188796071,0.4295511598686083,0.2277231403510963
GA,-0.5733333333333333,-0.4400000000000002,0.88,0.8,0.26666666666666666,0.16,-0.8027272727272727,-0.4734127384578673,0.10972098395837183,0.7269,0.08253758090292283,0.16182547691573468,0.10160378819714493
WOA,-0.6166666666666667,-0.5890476190476193,0.88,0.8,0.23333333333333334,0.23809523809523808,-0.7504761904761906,-0.4529077610450415,0.12914690739087042,0.6779,0.09572568639177198,0.18221552209008293,0.091593426167572
