Algorithm,StaticFit_B,StaticFit_A,Coverage_B,Coverage_A,Conn_B,Conn_A,Final_BestSoFar,MC_Fit_Mean,MC_Fit_Std,MC_Cov_Mean,MC_Cov_Std,MC_Conn_Mean,MC_Conn_Std
DMPA‑GWO,-0.6599999999999999,-0.6599999999999999,0.58,0.58,0.8,0.8,-0.665,-0.5636738095238095,0.11557366600327128,0.5337000000000001,0.06275348595894892,0.7070476190476191,0.16235020742672268
PSO,-0.38,-0.3366666666666666,0.52,0.5,0.4,0.3333333333333333,-0.44222222222222224,-0.34788809523809516,0.0542090255752779,0.49099999999999994,0.041902015398693676,0.3919761904761905,0.07613050669600459
GWO,-0.21000000000000002,-0.21000000000000002,0.42,0.42,0.4,0.4,-0.39000000000000007,-0.183809126984127,0.051848334098972514,0.3975,0.029735010581322423,0.39721825396825394,0.06280825675114098
DE,-0.35,-0.35,0.48,0.48,0.5,0.5,-0.3522222222222222,-0.3154730158730159,0.0514554996749066,0.4504000000000001,0.042578216526917435,0.48374603174603176,0.08519782649489668
GA,-0.3,-0.2922222222222222,0.44,0.44,0.5,0.4444444444444444,-0.5099999999999998,-0.25192420634920637,0.08090316456781949,0.40870000000000006,0.0323658421594969,0.45894841269841274,0.12198789670422462
WOA,0.07000000000000003,0.07444444444444448,0.32,0.3,0.1,0.1111111111111111,-0.30000000000000004,0.07821111111111112,0.038562744727286505,0.3055999999999999,0.02473253914304618,0.10227777777777777,0.033443544372258195
