Algorithm,StaticFit_B,StaticFit_A,Coverage_B,Coverage_A,Conn_B,Conn_A,Final_BestSoFar,MC_Fit_Mean,MC_Fit_Std,MC_Cov_Mean,MC_Cov_Std,MC_Conn_Mean,MC_Conn_Std
DMPA‑GWO,-0.9533333333333331,-0.8737037037037036,0.94,0.94,0.6666666666666666,0.4074074074074074,-0.9176923076923078,-0.8589657993576472,0.09664238103749498,0.8966999999999998,0.0519674231160891,0.5458315987152944,0.15417692244927342
PSO,-0.6799999999999999,-0.7053846153846155,0.96,0.92,0.2,0.23076923076923078,-0.839310344827586,-0.6593327079210699,0.054190041290775495,0.9198999999999999,0.041066070064625884,0.19236541584213995,0.03394689578116833
GWO,-0.6000000000000001,-0.5925925925925926,0.86,0.86,0.3,0.18518518518518517,-0.7866666666666668,-0.5722884667098685,0.05933038328531919,0.8287,0.03885690796348072,0.283976933419737,0.04414570042129589
DE,-0.4866666666666667,-0.42,0.88,0.86,0.13333333333333333,0.0,-0.5833333333333333,-0.4949137296784785,0.04116991313184712,0.8559,0.027948085397517575,0.1150274593569571,0.050918284631637355
GA,-0.5833333333333335,-0.6037037037037036,0.88,0.84,0.36666666666666664,0.4074074074074074,-0.8041379310344827,-0.5737493402704796,0.0642975701221245,0.8471000000000001,0.03856196475321429,0.3518986805409594,0.05202012389118094
WOA,-0.6533333333333332,-0.6470370370370369,0.98,0.98,0.16666666666666666,0.07407407407407407,-0.8785714285714286,-0.6486281217907529,0.03889140136255936,0.9481,0.03325536946103515,0.14555624358150596,0.05327846749605468
